date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:25:30	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://premiumautoshipping.com/robots.txt		(from )
08:25:30	134189/134189	---MCZ	200	added ('OK')	text/html	etag:b8936f9cc2f7052fc226c369c0610064	https://premiumautoshipping.com/	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/index.html	(from )
08:25:31	330/330	---M-Z	200	added ('OK')	text/css	etag:%221e154e5ed919387ff6d969c8d6c56619%22	http://img1.wsimg.com/blobby/go/font/LeagueSpartan/league-spartan.css	C:/My%20Web%20Sites/easy%20go%20transportation/img1.wsimg.com/blobby/go/font/LeagueSpartan/league-spartan.css	(from https://premiumautoshipping.com/)
08:25:31	517/517	---MCZ	200	added ('OK')	application/manifest+json	etag:a933433d02f2c42852a1d1701617a235	https://premiumautoshipping.com/manifest.webmanifest	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/manifest.webmanifest	(from https://premiumautoshipping.com/)
08:25:31	32969/32969	---MCZ	200	added ('OK')	application/javascript	etag:e535897f1cb7890e21d34a28ef447116	https://premiumautoshipping.com/sw.js	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/sw.js	(from https://premiumautoshipping.com/)
08:25:32	51964/51964	---MCZ	200	added ('OK')	text/html	etag:6b2463864520cadd85c7bdb1a194c117	https://premiumautoshipping.com/contact-us	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/contact-us.html	(from https://premiumautoshipping.com/)
08:25:32	84510/84510	---MCZ	200	added ('OK')	text/html	etag:5b67139f4559d9130195e6f59306b769	https://premiumautoshipping.com/about-us	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/about-us.html	(from https://premiumautoshipping.com/)
08:25:32	59107/59107	---MCZ	200	added ('OK')	text/html	etag:619344f123943abdaa82d88d75321cd2	https://premiumautoshipping.com/get-a-quote	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/get-a-quote.html	(from https://premiumautoshipping.com/)
08:25:32	57637/57637	---MCZ	200	added ('OK')	text/html	etag:e87ae4abfed621e57460903c5c0aa569	https://premiumautoshipping.com/privacy-policy	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/privacy-policy.html	(from https://premiumautoshipping.com/)
08:25:33	66944/66944	---MCZ	200	added ('OK')	text/html	etag:ed28962096e08d32475e9e7e6b80716b	https://premiumautoshipping.com/terms-%26-conditions	C:/My%20Web%20Sites/easy%20go%20transportation/premiumautoshipping.com/terms-&-conditions.html	(from https://premiumautoshipping.com/)
